name,rating,position,nation,team,pac,sho,pas,dri,def,phy
Formosandrinho,75,ST,Brazil,Clube Atlético Mineiro,77,77,60,73,24,60
Rafael Cachoira,75,CB,Brazil,RB Bragantino,53,40,58,59,77,77
G. Pezzella,75,LB,Italy,Lecce,76,57,68,72,69,75
Pepelu,75,CM,Spain,Levante Unión Deportiva,64,64,76,71,71,76
N. Nández,75,CDM,Uruguay,Cagliari,80,66,69,77,71,79
J. Aribo,75,CAM,Nigeria,Southampton,80,68,72,78,68,76
I. Sissoko,75,CDM,France,RC Strasbourg Alsace,62,60,71,70,72,84
Iván Alejo,75,RW,Spain,Cádiz CF,81,73,73,76,44,67
S. Banza,75,ST,France,SC Braga,69,74,54,74,31,76
M. Wöber,75,CB,Austria,FC Red Bull Salzburg,72,51,66,64,74,80
J. Juranović,75,RB,Croatia,Celtic,86,64,73,74,70,68
A. Harit,75,CAM,Morocco,Olympique de Marseille,74,62,71,79,39,49
F. Uduokhai,75,CB,Germany,FC Augsburg,67,39,53,59,77,74
K. Itakura,75,CB,Japan,Borussia Mönchengladbach,74,45,59,67,77,76
M. Zajc,75,CM,Slovenia,Fenerbahçe SK,66,73,75,75,66,65
Lincoln,75,LM,Brazil,Fenerbahçe SK,78,70,77,78,45,65
B. Alemán,75,CM,Uruguay,Gimnasia y Esgrima La Plata,72,75,76,74,67,72
L. Haraslín,75,LM,Slovakia,AC Sparta Praha,80,68,70,79,40,60
Cucho Hernández,75,ST,Colombia,Columbus Crew,82,75,65,73,42,74
A. Yarmolenko,75,CAM,Ukraine,Al Ain FC,58,79,77,77,42,67
C. Roldan,75,CM,United States,Seattle Sounders FC,74,69,72,75,70,81
Jean,75,GK,Brazil,Club Cerro Porteño,74,75,68,78,29,76
L. Tawamba,75,ST,Cameroon,Al Taawoun,64,75,56,70,24,83
S. Berge,75,CB,Norway,Sheffield United,64,62,71,72,73,83
A. Varela,75,CDM,Argentina,Boca Juniors,70,59,72,72,71,74
J. Clasie,75,CM,Netherlands,AZ Alkmaar,56,62,77,75,66,67
Rochinha,75,LW,Portugal,Sporting CP,83,67,69,80,40,53
M. Silva,75,GK,Uruguay,Club Libertad,78,73,72,81,31,73
J. Gallardo,75,LB,Mexico,Free agent,83,67,70,75,69,74
W. Bou,75,ST,Argentina,Vélez Sarsfield,75,75,68,76,46,75
S. Johnstone,75,GK,England,Crystal Palace,77,72,68,77,42,74
C. Ansaldi,75,LWB,Argentina,Parma,69,63,73,73,71,67
B. Hübner,75,CB,Germany,TSG Hoffenheim,38,33,55,57,78,67
N. Clyne,74,RB,England,Crystal Palace,69,60,70,72,73,64
A. Rusnák,74,CAM,Slovakia,Seattle Sounders FC,71,73,73,75,55,65
A. Adli,74,CAM,France,Bayer 04 Leverkusen,86,72,67,80,40,54
G. Hanley,74,CB,Scotland,Norwich City,53,32,47,49,76,78
Ailtio Coelho,74,LM,Brazil,São Paulo,82,72,71,74,38,60
D. Lukébakio,74,LM,Belgium,Hertha BSC,83,72,66,78,31,59
M. Djenepo,74,RM,Mali,Southampton,79,66,67,79,36,65
Diogo Leite,74,CB,Portugal,1. FC Union Berlin,60,38,48,57,76,73
L. Perrin,74,CB,France,RC Strasbourg Alsace,51,35,55,59,76,71
Y. Musah,74,CAM,United States,Valencia CF,85,69,68,74,60,67
M. Carnesecchi,74,GK,Italy,US Cremonese,75,72,64,78,30,73
Guilherme,74,RM,Brazil,Guangzhou City,91,67,69,76,51,67
J. Ferreira,74,CF,United States,FC Dallas,81,73,70,74,44,65
Douglas Armeira,74,RB,Brazil,Palmeiras,72,57,63,69,72,74
J. Sand,74,ST,Argentina,Club Atlético Lanús,47,78,62,67,37,67
M. Aramu,74,CAM,Italy,Genoa,75,63,73,77,52,61
A. Solari,74,RM,Argentina,RC Celta de Vigo,85,62,72,75,58,73
O. Kolář,74,GK,Czech Republic,SK Slavia Praha,75,73,77,74,53,73
Sergio Álvarez,74,CDM,Spain,SD Eibar,59,66,67,67,70,80
G. Hamer,74,CM,Netherlands,Coventry City,69,69,75,72,71,77
Luis Pérez,74,RB,Spain,Real Valladolid CF,88,47,63,68,69,77
J. Cork,74,CDM,England,Burnley,40,60,70,68,73,76
Kiko Casilla,74,GK,Spain,Getafe CF,75,72,74,75,47,71
N. Storm,74,LM,Belgium,KV Mechelen,78,73,70,74,36,57
Bruno Henrique,74,CDM,Brazil,Al Ittihad,61,67,74,69,71,76
R. Gudiño,74,GK,Mexico,Atlanta United,73,76,62,76,47,70
Kaimo Lima,74,CB,Brazil,Fluminense,74,63,69,68,75,70
A. Castro-Montes,74,RM,Belgium,KAA Gent,73,69,71,73,70,68
B. Decordova-Reid,74,RM,Jamaica,Fulham,77,71,69,76,57,63
G. Ávalos,74,ST,Paraguay,Argentinos Juniors,71,73,61,73,46,81
Jamiro Monteiro,74,CM,Cape Verde Islands,San Jose Earthquakes,75,63,73,78,64,75
H. Koffi,74,GK,Burkina Faso,Royal Charleroi S.C.,76,71,69,78,56,69
L. Fer,74,CDM,Netherlands,Aytemiz Alanyaspor,64,66,71,70,70,81
M. Richter,74,ST,Germany,Hertha BSC,75,71,67,78,34,61
Petros,74,CDM,Brazil,Al Fateh,64,67,70,73,72,83
Marco Pereira,74,GK,Portugal,Santa Clara,74,69,77,74,57,73
C. Larin,74,ST,Canada,Club Brugge KV,74,74,65,68,28,78
I. Pussetto,74,ST,Argentina,U.C. Sampdoria,78,72,63,77,25,60
P. Gallese,74,GK,Peru,Orlando City Soccer Club,75,72,66,77,47,70
B. Espinosa,74,CB,Colombia,Girona FC,39,44,58,51,73,78
J. Kayembe,74,LWB,Belgium,Royal Charleroi S.C.,84,62,69,75,66,72
A. Nyom,74,RB,Cameroon,CD Leganés,80,59,70,68,70,86
A. Plata,74,RM,Colombia,Al Adalah,85,66,65,78,42,71
B. Merlini,74,LM,Argentina,Club Libertad,84,66,68,77,41,57
Rubén Blanco,74,GK,Spain,Olympique de Marseille,79,72,73,74,53,70
J. Reine-Adélaïde,74,CAM,France,Olympique Lyonnais,71,70,72,79,54,64
W. Foderingham,74,GK,England,Sheffield United,74,71,72,76,44,73
Luis Rioja,74,LM,Spain,Deportivo Alavés,77,66,70,77,37,51
V. Janelt,74,CDM,Germany,Brentford,68,69,71,72,73,78
R. Ofori,74,GK,Ghana,Orlando Pirates,74,71,77,73,42,75
Murilo,74,RW,Brazil,Gil Vicente FC,88,70,65,79,25,65
A. Soumaoro,74,CB,France,Bologna,53,37,54,55,73,78
J. Murillo,74,CB,Colombia,U.C. Sampdoria,71,40,61,63,73,77
Calero,74,CB,Spain,RCD Espanyol de Barcelona,64,42,66,68,74,74
M. D'Arpino,74,CDM,France,KV Oostende,65,61,74,70,69,73
J. Moder,74,CM,Poland,Brighton & Hove Albion,68,70,74,72,69,75
A. Zedadka,74,RB,Algeria,LOSC Lille,81,55,65,74,65,65
Dany Mota,74,ST,Portugal,AC Monza,75,73,65,76,30,63
D. Vanzeir,74,ST,Belgium,Royale Union Saint-Gilloise,85,74,67,73,36,72
R. Skov,74,RW,Denmark,TSG Hoffenheim,78,77,76,72,64,68
C. Gamboa,74,RB,Costa Rica,VfL Bochum 1848,88,48,66,72,69,71
M. Pereyra,74,CAM,Uruguay,Orlando City Soccer Club,69,65,75,75,54,66
A. Hahn,74,ST,Germany,FC Augsburg,69,74,68,70,55,83
Hugo Guillamón,74,CDM,Spain,Valencia CF,58,51,66,64,74,71
Meirelinson,74,CB,Brazil,Sport Club Corinthians Paulista,71,45,66,72,75,70
X. Chavalerin,74,CM,France,ESTAC Troyes,59,67,73,71,69,75
Sergio Gómez,74,CAM,Spain,Manchester City,70,70,74,75,69,66
E. Zhegrova,74,CAM,Kosovo,LOSC Lille,79,67,68,78,25,60
K. Diatta,74,RM,Senegal,AS Monaco,91,69,66,76,47,67
P. Zinckernagel,74,CAM,Denmark,Standard de Liège,87,70,70,75,42,68
Abel Ruiz,74,ST,Spain,SC Braga,74,74,66,75,38,67
S. Simón,74,CAM,Argentina,River Plate,77,63,72,75,66,72
Y. Karamoh,74,CAM,France,Torino F.C.,78,68,69,77,31,60
A. Armstrong,74,ST,England,Southampton,84,75,66,75,35,69
Barrenetxea,74,LW,Spain,Real Sociedad,78,71,63,80,24,48
O. Aina,74,LWB,Nigeria,Torino F.C.,83,60,66,73,70,74
Jordi Masip,74,GK,Spain,Real Valladolid CF,74,72,68,74,63,72
Marlon,74,CB,Brazil,AC Monza,68,44,59,67,75,77
G. Gallon,74,GK,France,ESTAC Troyes,75,71,72,76,40,73
M. Matvienko,74,CB,Ukraine,Shakhtar Donetsk,76,48,67,69,74,74
Kiko Femenía,74,RB,Spain,Villarreal CF,74,57,70,74,70,67
A. Smith,74,RB,England,AFC Bournemouth,66,60,69,70,72,71
R. Bertrand,74,LB,England,Leicester City,68,53,71,72,72,70
V. Pilař,74,LM,Czech Republic,FC Viktoria Plzeň,80,69,68,78,39,56
L. Milivojević,74,CDM,Serbia,Crystal Palace,47,70,73,66,73,69
Ángel,74,ST,Spain,RCD Mallorca,69,75,62,74,34,65
N. Zalewski,74,RM,Poland,Roma,83,59,70,76,55,55
Michael Dimeira,74,CAM,Brazil,São Paulo,86,64,71,78,39,52
C. Bassogog,74,ST,Cameroon,Shanghai Shenhua FC,90,71,62,77,38,74
M. Haïdara,74,LWB,Mali,Racing Club de Lens,76,52,62,71,70,78
M. Diagne,74,ST,Senegal,Fatih Karagümrük S.K.,64,74,56,63,29,72
A. Robinson,74,LWB,United States,Fulham,87,47,64,73,69,72
J. Beyer,74,CB,Germany,Burnley,73,34,59,66,75,69
Y. Sugawara,74,RWB,Japan,AZ Alkmaar,82,53,72,72,66,71
Pedro Mendes,74,CB,Portugal,Montpellier Hérault SC,59,38,51,61,74,76
J. Siebatcheu,74,ST,United States,1. FC Union Berlin,67,73,60,71,29,74
Brian Oliván,74,LB,Spain,RCD Espanyol de Barcelona,74,56,65,69,69,75
André Almeida,74,RB,Portugal,SL Benfica,61,63,75,71,75,73
Ewerton,74,CAM,Brazil,SK Slavia Praha,82,70,67,78,25,57
C. Jullien,74,CB,France,Montpellier Hérault SC,64,50,62,56,73,74
B. Cuesta,74,ST,Argentina,FBC Melgar,67,79,56,62,27,70
A. Mierzejewski,74,CAM,Poland,Henan Songshan Longmen FC,74,75,73,76,47,73
M. Erlić,74,CB,Croatia,U.S. Sassuolo Calcio,64,34,49,52,74,73
M. Trésor,74,CAM,Belgium,KRC Genk,79,68,70,79,29,52
Diogo Gonçalves,74,CAM,Portugal,SL Benfica,84,72,70,75,67,71
Borja Sánchez,74,LM,Spain,Real Oviedo,76,69,73,74,41,66
Zeca,74,CDM,Greece,F.C. København,72,59,68,69,72,71
Manu Sánchez,74,LB,Spain,CA Osasuna,72,44,62,68,72,60
Pedro Pereira,74,RWB,Portugal,Aytemiz Alanyaspor,76,39,66,71,69,66
C. Bernardi,74,RW,Argentina,Club Atlético Colón,78,72,70,78,50,65
M. Munetsi,74,CDM,Zimbabwe,Stade de Reims,58,59,65,69,71,77
Gonzalo Villar,74,CM,Spain,U.C. Sampdoria,54,57,74,77,69,67
I. Success,74,ST,Nigeria,Udinese Calcio,73,71,66,75,38,67
D. Lainez,74,CAM,Mexico,SC Braga,76,64,70,80,49,50
O. Tannane,74,CAM,Morocco,N.E.C. Nijmegen,82,76,72,78,41,71
M. Camara,74,CDM,France,Stade Brestois 29,63,57,67,71,73,74
B. Dieng,74,ST,Senegal,Olympique de Marseille,80,75,60,71,33,62
J. Rinne,74,GK,Sweden,Al Fateh,73,72,74,75,46,72
Kike Barja,74,RM,Spain,CA Osasuna,73,66,69,73,35,59
I. Piris,74,RB,Paraguay,Club Libertad,83,48,62,70,70,74
C. Carter-Vickers,74,CB,United States,Celtic,74,26,55,63,74,81
T. Kędziora,74,RB,Poland,Dynamo Kyiv,77,46,66,64,72,74
G. Magnani,74,CB,Italy,Hellas Verona,78,37,45,50,76,72
Mauro Cildinho,74,RB,Brazil,Atlético Clube Goianiense,74,46,68,74,69,58
Luquinhas,74,CAM,Brazil,New York Red Bulls,82,67,68,79,35,57
M. Saracchi,74,LM,Uruguay,Levante Unión Deportiva,80,63,71,76,69,69
J. Stephens,74,CB,England,AFC Bournemouth,50,42,61,67,75,73
A. Soñora,74,CAM,United States,Club Atlético Independiente,73,66,77,76,65,66
R. Cabella,74,CAM,France,LOSC Lille,71,70,74,78,39,52
D. da Costa,74,RWB,Germany,1. FSV Mainz 05,73,56,65,68,72,81
L. Reyes,74,CDM,Chile,Deportivo Ñublense,65,59,66,70,71,77
Wesley,74,ST,Brazil,Levante Unión Deportiva,65,74,67,70,38,83
D. Brašanac,74,CM,Serbia,CA Osasuna,49,70,71,71,71,71
A. Claude-Maurice,74,CAM,France,Racing Club de Lens,80,71,72,79,69,69
R. Bellanova,74,RWB,Italy,Inter,87,32,61,68,67,72
A. Gravillon,74,CB,France,Stade de Reims,59,42,48,55,74,77
A. Elanga,74,RW,Sweden,Manchester United,88,66,64,75,38,57
A. Souquet,74,RB,France,Montpellier Hérault SC,66,59,70,71,71,69
J. Osorio,74,CM,Canada,Toronto FC,61,69,71,76,63,68
U. Bozok,74,ST,Turkey,Trabzonspor,78,73,63,74,33,69
S. Hefti,74,RB,Switzerland,Genoa,77,49,64,66,70,81
Joaquín,74,CB,Spain,Real Valladolid CF,64,45,60,55,74,80
S. Szymański,74,LM,Poland,Feyenoord,83,66,74,76,38,49
M. Aarons,74,RWB,England,Norwich City,80,42,64,75,70,73
D. Gazdag,74,CAM,Hungary,Philadelphia Union,76,73,67,76,54,63
Mariano,74,ST,Dominican Republic,Real Madrid CF,74,76,61,71,45,78
A. Hack,74,CB,Germany,1. FSV Mainz 05,66,34,60,53,75,76
S. Aziz,74,CB,Turkey,Fenerbahçe SK,69,32,51,55,74,79
D. Zima,74,CB,Czech Republic,Torino F.C.,74,38,54,63,76,76
R. Cannon,74,RWB,United States,Boavista FC,91,36,60,69,67,75
H. Akbunar,74,RM,Turkey,KVC Westerlo,84,67,70,76,38,57
N. Radonjić,74,LW,Serbia,Torino F.C.,88,71,69,74,30,58
L. Traoré,74,ST,Burkina Faso,Shakhtar Donetsk,78,72,57,69,30,76
Borja García,74,CM,Spain,Girona FC,73,69,73,74,60,66
André André,74,CM,Portugal,Vitória de Guimarães,64,69,75,75,68,70
K. Tete,74,CB,Netherlands,Fulham,75,47,66,68,73,75
M. Gulde,74,CB,Germany,Sport-Club Freiburg,69,40,51,57,76,72
L. Pratto,74,ST,Argentina,Vélez Sarsfield,70,74,69,69,58,80
G. Giménez,74,CDM,Paraguay,Chicago Fire Football Club,64,61,71,73,67,83
L. Vietto,74,CAM,Argentina,Al Hilal,76,70,72,78,45,64
E. Roco,74,CB,Chile,Elche CF,32,41,55,58,75,76
D. Bertaud,74,GK,France,Montpellier Hérault SC,74,69,73,77,53,73
J. Kenny,74,RB,England,Hertha BSC,70,49,65,70,71,70
G. Holtmann,74,LW,Philippines,VfL Bochum 1848,94,67,67,73,56,60
C. Führich,74,CAM,Germany,VfB Stuttgart,83,68,69,75,54,59
D. Siovas,74,CB,Greece,Fortuna Sittard,33,44,54,60,75,75
A. Mirante,74,GK,Italy,AC Milan,71,73,65,74,44,75
Nico Williams,74,RM,Spain,Athletic Club de Bilbao,91,67,65,77,33,58
F. Sacko,74,RB,Mali,Montpellier Hérault SC,92,45,61,72,67,73
Vesga,74,CDM,Spain,Athletic Club de Bilbao,41,63,70,66,75,78
J. Devecchi,74,GK,Argentina,Club Atlético Aldosivi,74,71,62,76,47,77
D. de Wit,74,ST,Netherlands,AZ Alkmaar,67,74,71,70,73,87
Dani Cárdenas,74,GK,Spain,Levante Unión Deportiva,76,69,71,79,44,70
Henrique Dourado,74,ST,Brazil,Henan Songshan Longmen FC,72,75,63,66,34,84
S. Schwab,74,CM,Austria,PAOK,63,71,75,72,70,76
H. Belkebla,74,CDM,Algeria,Stade Brestois 29,55,49,71,70,69,73
O. Tufan,74,CAM,Turkey,Hull City,79,73,72,75,71,77
B. Johnson,74,RB,England,West Ham United,76,38,62,67,73,71
Melero,74,CM,Spain,Unión Deportiva Almería,53,75,73,70,70,75
E. Alioski,74,LB,North Macedonia,Fenerbahçe SK,78,72,71,73,67,76
K. Narey,74,RW,Germany,PAOK,82,67,68,75,62,73
Lino Essier,74,CB,Brazil,São Paulo,67,45,68,66,73,79
R. Dickie,74,CB,England,Queens Park Rangers,61,45,52,59,74,78
Gérson Damesio,74,CB,Brazil,Flamengo,51,42,49,57,76,76
R. Battaglia,74,CDM,Argentina,RCD Mallorca,60,65,67,70,74,77
Bebé,74,RM,Cape Verde Islands,Rayo Vallecano,82,77,71,72,41,83
F. Niederlechner,74,ST,Germany,FC Augsburg,68,75,63,73,35,78
M. Klich,74,CM,Poland,Leeds United,65,71,74,72,66,72
Jaume,74,GK,Spain,Valencia CF,71,74,74,75,58,71
Aitor Ruibal,74,RM,Spain,Real Betis Balompié,85,73,67,74,42,60
N. Mendy,74,CDM,Senegal,Leicester City,60,54,69,75,73,66
M. Schneiderlin,74,CDM,France,OGC Nice,45,58,70,70,73,74
N. Kalinić,74,ST,Croatia,Hajduk Split,62,74,64,72,42,67
I. Diallo,74,CDM,France,Southampton,65,48,65,70,71,74
L. Hoyos,74,GK,Argentina,Vélez Sarsfield,79,69,68,80,62,66
P. Piatti,74,RM,Argentina,Estudiantes de La Plata,77,73,72,75,47,50
M. Leitsch,74,CB,Germany,1. FSV Mainz 05,82,37,57,58,76,71
M. Jensen,74,CM,Denmark,Brentford,67,62,76,72,67,71
I. Traoré,74,CDM,Côte d'Ivoire,SK Slavia Praha,60,65,71,73,69,80
C. Kouamé,74,ST,Côte d'Ivoire,Fiorentina,83,71,63,74,39,73
C. Dagba,74,RB,France,RC Strasbourg Alsace,77,56,69,74,70,60
J. Brabec,74,CB,Czech Republic,Free agent,68,51,62,63,73,77
K. Dawson,74,GK,Uruguay,Club Atlético Peñarol,73,72,71,73,31,76
T. Weah,74,CAM,United States,LOSC Lille,86,71,67,75,45,61
B. Zuculini,74,CB,Argentina,River Plate,69,65,68,70,72,80
N. Schulz,74,LB,Germany,Borussia Dortmund,85,46,65,67,70,80
M. van Ginkel,74,CM,Netherlands,PSV,58,74,75,73,69,73
L. Kübler,74,RB,Germany,Sport-Club Freiburg,75,46,59,64,73,68
I. Grbić,74,GK,Croatia,Atlético de Madrid,75,70,73,75,28,73
E. Díaz,74,CDM,Argentina,Club Atlético Talleres,73,49,68,72,71,81
Eltildo Correia,74,CB,Brazil,Clube Atlético Mineiro,56,50,61,51,76,75
Carlos Fernández,74,ST,Spain,Real Sociedad,67,76,64,74,27,67
K. Boateng,74,CAM,Ghana,Hertha BSC,48,74,74,77,65,69
Otávio Cairinho,74,CB,Brazil,Palmeiras,58,50,58,53,75,74
J. Riedewald,74,CDM,Netherlands,Crystal Palace,60,56,74,69,73,67
Moisés,74,CDM,Brazil,Shandong Taishan,70,74,72,71,71,78
Paulo Victor,74,GK,Brazil,Ettifaq FC,69,70,70,78,42,75
Caio Nunson,74,CB,Brazil,Fortaleza,59,50,61,59,73,76
A. Castro,74,CAM,Argentina,Club Atlético Tigre,77,72,71,76,65,69
B. Samba,74,GK,Congo,Racing Club de Lens,75,73,76,74,53,71
A. Izzo,74,CB,Italy,AC Monza,67,33,47,65,75,75
Robson Denho,74,CDM,Brazil,Atlético Clube Goianiense,64,59,72,63,73,77
Yoel,74,GK,Spain,SD Eibar,74,73,70,71,38,72
M. Ristić,74,LB,Serbia,SL Benfica,75,61,66,73,69,68
T. Zwane,74,CAM,South Africa,Mamelodi Sundowns FC,78,68,70,76,49,63
K. Onisiwo,74,ST,Austria,1. FSV Mainz 05,80,70,66,73,50,82
K. Linetty,74,CDM,Poland,Torino F.C.,64,63,71,75,72,69
S. Barreto,74,CB,Argentina,Club Atlético Independiente,76,30,47,51,73,81
Germano Cuba,74,LB,Brazil,Palmeiras,88,68,68,76,67,57
D. Doekhi,74,CB,Netherlands,1. FC Union Berlin,56,42,59,64,74,81
G. Herrera,74,GK,Argentina,Club Atlético Talleres,74,72,72,75,59,74
P. Mwene,74,RB,Austria,PSV,79,50,66,74,68,70
L. Gil,74,CM,Argentina,Colo-Colo,63,65,75,72,66,77
T. Cantwell,74,CAM,England,Norwich City,73,67,71,76,42,51
H. Hajradinović,74,CM,Bosnia and Herzegovina,Kasimpaşa SK,75,67,76,76,54,70
Nicholas Aldair,74,ST,Brazil,Fluminense,67,75,68,72,38,77
M. Hasebe,74,CB,Japan,Eintracht Frankfurt,52,51,72,70,76,60
I. Louza,74,CM,Morocco,Watford,61,64,73,76,63,60
Bruno Varela,74,GK,Portugal,Vitória de Guimarães,74,70,63,78,39,72
S. Longstaff,74,CM,England,Newcastle United,61,65,72,72,68,67
C. Pellerano,74,CDM,Argentina,Independiente del Valle,52,65,68,61,70,78
A. McGregor,74,GK,Scotland,Rangers FC,73,73,69,74,36,76
A. Moris,74,GK,Luxembourg,Royale Union Saint-Gilloise,74,71,79,75,47,72
Óscar Valentín,74,CDM,Spain,Rayo Vallecano,63,45,65,63,72,74
R. Morioka,74,CM,Japan,Royal Charleroi S.C.,49,69,76,71,73,73
Víctor Chust,74,CB,Spain,Cádiz CF,69,30,50,51,76,65
Douglas Carvalheira,74,LB,Brazil,Flamengo,90,40,61,71,69,69
Ruiz de Galarreta,74,CDM,Spain,RCD Mallorca,67,59,70,73,69,69
W. Hennessey,74,GK,Wales,Nottingham Forest,76,74,77,71,40,74
T. Pochettino,74,CM,Argentina,River Plate,71,66,76,76,64,72
M. Stekelenburg,74,GK,Netherlands,Ajax,70,75,75,72,31,79
Roni Gameira,74,ST,Brazil,Club Athletico Paranaense,80,75,58,73,29,62
Bigas,74,CB,Spain,Elche CF,62,52,64,61,75,72
A. Diawara,74,CDM,Guinea,RSC Anderlecht,57,54,70,75,72,69
J. Berthomier,74,CAM,France,Valenciennes FC,66,70,77,76,51,59
Aitor,74,LW,Spain,Panathinaikos FC,84,70,71,74,29,56
J. Schouten,74,CDM,Netherlands,Bologna,62,55,66,72,73,68
S. Ristovski,74,RB,North Macedonia,Dinamo Zagreb,76,61,68,70,71,78
B. Engels,74,CB,Belgium,Royal Antwerp FC,63,44,61,56,74,75
Hong Jeong Ho,74,CB,Korea Republic,Jeonbuk Hyundai Motors,76,45,54,57,73,81
S. Mitrović,74,CB,Serbia,Getafe CF,31,34,54,53,74,81
Ilie Sánchez,74,CDM,Spain,Los Angeles FC,50,49,67,69,69,78
A. Laurienté,74,CAM,France,U.S. Sassuolo Calcio,77,73,71,77,35,44
J. Ramírez,74,CAM,Argentina,Boca Juniors,81,67,70,80,64,66
Mama Baldé,74,ST,Guinea Bissau,ESTAC Troyes,89,72,67,73,50,78
J. Egan,74,CB,Republic of Ireland,Sheffield United,64,46,54,61,73,77
F. Fazio,74,CB,Argentina,US Salernitana 1919,34,40,54,54,75,72
Ximo Navarro,74,RB,Spain,Fortuna Sittard,71,47,65,68,70,75
J. Larsson,74,CAM,Sweden,FC Schalke 04,82,73,73,77,29,68
Gonçalo Paciência,74,ST,Portugal,RC Celta de Vigo,46,76,59,76,33,77
E. Bičakčić,74,CB,Bosnia and Herzegovina,TSG Hoffenheim,44,37,49,48,75,70
Sandro,74,ST,Spain,Unión Deportiva Las Palmas,78,74,67,75,31,60
Eric Curbelo,74,CB,Spain,Unión Deportiva Las Palmas,82,34,62,64,74,80
Dani Rochelinhas,74,CAM,Brazil,Club Athletico Paranaense,76,63,72,76,34,59
A. Masina,74,LWB,Morocco,Udinese Calcio,72,42,66,68,73,71
P. Gazzaniga,74,GK,Argentina,Girona FC,76,74,78,77,57,73
Benjamin Meseira,74,RB,Brazil,Club Athletico Paranaense,79,45,61,69,69,73
Morato,74,CB,Brazil,SL Benfica,67,35,51,61,73,80
Miguel Crespo,74,CDM,Portugal,Fenerbahçe SK,68,64,72,75,74,81
Sergi Enrich,74,ST,Spain,Real Oviedo,52,73,68,72,42,81
M. Thorsby,74,CM,Norway,1. FC Union Berlin,67,63,70,72,75,80
R. Ortiz,74,CDM,Paraguay,Club Olimpia,73,68,68,72,71,83
Allan Bardinho,74,CAM,Brazil,Ceará Sporting Club,65,69,73,77,35,54
B. Aaronson,74,CAM,United States,Leeds United,81,66,68,78,53,63
André Horta,74,CAM,Portugal,SC Braga,71,69,72,76,65,69
S. Rondón,74,ST,Venezuela,Everton,54,73,65,69,32,74
S. Dioudis,74,GK,Greece,Panathinaikos FC,76,72,68,78,42,73
K. Amian,74,RWB,France,Spezia,78,48,62,67,71,79
Y. González,74,ST,Colombia,Deportivo Cali,93,70,67,71,48,79
A. Ring,74,CDM,Finland,Austin FC,68,66,69,73,70,77
R. Rodríguez,74,CDM,Switzerland,Torino F.C.,67,67,74,75,75,73
Mauri Borgho,74,RB,Brazil,São Paulo,76,63,71,70,72,66
P. Diop,74,CDM,Senegal,UD Ibiza,35,66,67,67,73,83
C. Richards,74,CB,United States,Crystal Palace,78,27,58,55,74,73
J. Rasmussen,74,CB,Denmark,Feyenoord,50,38,58,63,74,80
L. Hejda,74,CB,Czech Republic,FC Viktoria Plzeň,61,35,55,61,73,80
A. Young,74,CDM,England,Aston Villa,67,65,76,76,76,70
Estevão Baldeiro,74,CB,Brazil,Flamengo,75,56,60,64,76,75
D. Da Silva,74,CB,France,Olympique Lyonnais,36,37,57,52,75,73
K. Mitoma,74,CAM,Japan,Brighton & Hove Albion,82,69,68,77,56,62
S. Kryvtsov,74,CB,Ukraine,Shakhtar Donetsk,65,44,56,52,74,78
Jadson,74,CB,Brazil,Shandong Taishan,67,36,45,54,75,79
S. Viera,74,GK,Uruguay,Junior FC,71,73,71,76,39,75
T. Šunjić,74,CB,Bosnia and Herzegovina,Henan Songshan Longmen FC,53,40,51,35,74,82
A. Roa,74,CAM,Colombia,Argentinos Juniors,76,67,73,78,54,62
J. Chotard,74,CDM,France,Montpellier Hérault SC,68,54,72,74,71,68
Edval Anton,74,CDM,Brazil,Fortaleza,70,56,71,72,72,69
E. Mammana,74,CB,Argentina,River Plate,77,42,65,71,75,71
C. Stanković,74,GK,Austria,AEK Athens,75,73,62,77,42,74
S. Duffy,74,CB,Republic of Ireland,Fulham,34,47,50,48,74,78
B. Ocampo,74,RM,Uruguay,Cádiz CF,83,67,71,77,47,62
L. Acosta,74,RM,Argentina,Club Atlético Lanús,82,69,70,76,52,61
A. Ulmer,74,LB,Austria,FC Red Bull Salzburg,69,62,69,73,71,71
D. von Ballmoos,74,GK,Switzerland,BSC Young Boys,75,75,74,74,50,73
J. Castelletto,74,CB,Cameroon,FC Nantes,68,30,51,61,75,75
K. Fujimoto,74,CAM,Japan,Gil Vicente FC,77,70,72,75,52,52
Medrán,74,CM,Spain,Al Taawoun,58,67,76,74,63,64
M. Cauteruccio,74,ST,Uruguay,Club Atlético Aldosivi,66,75,62,70,37,77
E. Copetti,74,ST,Argentina,Racing Club,81,72,63,68,49,86
A. Matusiwa,74,CDM,Netherlands,Stade de Reims,56,47,59,69,73,80
C. Zambrano,74,CB,Peru,Boca Juniors,55,48,59,66,73,77
D. Bulthuis,74,CB,Netherlands,Suwon Samsung Bluewings,60,38,55,53,73,85
M. Vojvoda,74,LWB,Kosovo,Torino F.C.,69,51,69,71,70,71
J. Schmid,74,RM,France,Sport-Club Freiburg,67,64,75,76,68,76
Lazo,74,RW,Spain,RCD Espanyol de Barcelona,78,73,69,79,34,55
Manu García,74,CDM,Spain,CD Mirandés,40,68,72,69,74,76
D. Udogie,74,LWB,Italy,Udinese Calcio,87,63,66,74,67,71
L. Schøne,74,CM,Denmark,N.E.C. Nijmegen,36,74,80,75,61,62
Cláudio Ramos,74,GK,Portugal,FC Porto,78,72,64,74,55,71
